canonical_name,category,source_candidates,reason
.NET,.NET Platform,"Corrected from earlier possible_skill: '.NET' is a specific, well-known, recognizable Microsoft development platform/framework. Canonicalized as '.NET Framework' and kept distinct from '.NET Core', a separate named successor product, per the no-merge-distinct-technologies rule."
.NET Core,Framework,.NET Core,"Specific, identifiable platform, kept distinct from '.NET Framework'."
AWS,Cloud,Amazon Web Services (AWS),"Specific, well-known cloud platform."
Angular,Framework,Angular; Angular 8.x+,"Specific, identifiable front-end framework."
Ansible,DevOps,Ansible,"Specific, identifiable configuration-management tool."
Artificial Neural Networks (ANN),AI/ML,Artificial Neural Network (ANN),"Corrected from earlier possible_skill: a specific, well-recognized model family/technique, treated consistently with Machine Learning and Deep Learning."
Azure Functions,Cloud,Azure Functions,"Specific, identifiable Azure serverless-compute service."
Bash,Developer Tools,Bash,"Specific, identifiable shell/scripting language."
Big Data,Data Engineering,Big Data,"Corrected from earlier possible_skill: a broad but specific, universally recognized technology domain, treated consistently with Machine Learning/Cloud Computing."
Bootstrap,Web Technology,Bootstrap,"Specific, identifiable CSS/front-end framework."
C#,Programming Language,C#,"Specific, identifiable programming language."
C++,Programming Language,C++; C/C++,"Specific, identifiable programming language."
C,Programming Language,C/C++,Split component 1 of 2: 'C/C++' names two distinct languages; split rather than merged so each is a discrete ontology candidate.
CFEngine,DevOps,CFEngine,"Specific, identifiable configuration-management tool."
Pipeline as Code,DevOps,CI pipelines via code,"Corrected from earlier possible_skill: names a specific, recognizable DevOps practice (defining CI/CD pipelines as code, e.g. Jenkinsfile/YAML pipelines). Kept distinct from 'CI/CD' itself since it names a narrower, related-but-not-identical practice."
CSS,Web Technology,CSS; CSS3,"Specific, identifiable web styling language."
Chef,DevOps,Chef,"Specific, identifiable configuration-management tool."
CI/CD,DevOps,Ci/CD,"Corrected from earlier possible_skill: CI/CD is a broad but specific, universally recognized technical practice/technology area, comparable to already-confirmed broad concepts like Microservices."
Cloud Computing,Cloud,Cloud Computing,"Corrected from earlier possible_skill: a broad but specific, universally recognized technology domain, treated consistently with Machine Learning/Big Data."
Cloudify,Cloud,Cloudify,"Specific, identifiable cloud orchestration tool (TOSCA-based)."
Cobbler,DevOps,Cobbler,"Specific, identifiable Linux provisioning tool."
Cocoa Touch,Framework,Cocoa Touch,"Specific, identifiable Apple iOS UI framework."
Core Animation,Library,Core Animation,"Specific, identifiable Apple graphics/animation framework."
Core Data,Library,Core Data,"Specific, identifiable Apple persistence framework."
Core Graphics,Library,Core Graphics,"Specific, identifiable Apple 2D graphics framework."
Core Text,Library,Core Text,"Specific, identifiable Apple text-rendering framework."
DNS,Networking,DNS,"Specific, identifiable networking protocol/system."
Database Design,Database,Database Design Administration,"Split component 1 of 2: 'Database Design' is a specific, well-recognized database skill, distinct from administration."
Database Administration,Database,Database Design Administration,"Split component 2 of 2: 'Database Administration' is a specific, well-recognized database skill, distinct from design."
Deep Learning,AI/ML,Deep Learning,"Corrected from earlier possible_skill: a specific, well-recognized ML subfield/technique, routinely listed as a discrete skill."
Django,Framework,Django,"Specific, identifiable Python web framework."
Docker,DevOps,Docker,"Specific, identifiable containerization tool."
Elasticsearch,Database,Elasticsearch,"Specific, identifiable search/analytics engine."
Exploratory Testing,Testing,Exploratory testing,"Specific, well-recognized software testing technique."
Foreman,DevOps,Foreman,"Specific, identifiable provisioning/lifecycle-management tool."
Gerrit,Developer Tools,Gerrit,"Specific, identifiable code-review tool."
Git,Developer Tools,Git,"Specific, identifiable version control system."
GitLab CI,DevOps,GitLab CI,"Specific, identifiable CI/CD product within GitLab."
Go,Programming Language,Go,"Specific, identifiable programming language."
GraphQL,Web Technology,GraphQL,"Specific, identifiable API query technology."
HTML,Web Technology,HTML; HTML5,"Specific, identifiable markup language."
HTTP,Networking,HTTP,"Specific, identifiable networking protocol."
IBM Rational ClearCase,Developer Tools,IBM Rational Clearcase,"Specific, identifiable software configuration management tool."
Image Processing,AI/ML,Image Processing,"Corrected from earlier possible_skill: a specific, well-recognized technical domain/technique, treated consistently with Computer Vision."
Ionic,Framework,Ionic,"Specific, identifiable hybrid mobile app framework."
jQuery,Library,JQuery,"Specific, identifiable JavaScript library."
JavaScript,Programming Language,JS; JavaScript; Javascript,"Specific, identifiable programming language."
