original_candidate,suggested_canonical_name,category,reason_for_review,information_needed
Apache,Apache,Unknown,"Kept in manual review: ambiguous on its own -- could mean the Apache HTTP Server or another Apache Software Foundation project (Kafka, Spark, etc.); name alone doesn't disambiguate, so no single canonical meaning is assumed.",Original job description context to confirm intended meaning/scope.
Applied Mathematics,Applied Mathematics,Domain Knowledge,"Broad academic domain rather than a specific technology or tool; distinguished from tech-specific concepts like Machine Learning, which have established tooling and are routinely listed as discrete skills.",Original job description context to confirm intended meaning/scope.
Bnh Advisor Enterprise,Bnh Advisor Enterprise,Unknown,Kept in manual review: appears to be a specific product/software name but is not independently verifiable or widely recognizable from the name alone.,Original job description context to confirm intended meaning/scope.
Database Documentation,Database Documentation,Database,"Reconsidered from job_responsibility: a legitimate professional competency around documenting database structures/decisions. Distinguished from a core technical skill, so kept in manual review.",Original job description context to confirm intended meaning/scope.
Defect Management,Defect Management,Testing,"Reconsidered from job_responsibility: a recognized QA/professional competency (tracking and resolving defects). Distinguished from a core technical skill (no specific tool/technology named), so kept in manual review rather than added to the technical skill ontology or the technical-skill rejection list.",Original job description context to confirm intended meaning/scope.
F5,F5,Networking,Kept in manual review per your flag: ambiguous on its own -- could refer to F5 Networks products (e.g. BIG-IP load balancers) or other 'F5'-branded tools; not assuming a specific product without more context.,Original job description context to confirm intended meaning/scope.
Fraud Prevention,Fraud Prevention,Domain Knowledge,Broad business/domain area rather than a specific technology or tool.,Original job description context to confirm intended meaning/scope.
Metadata,Metadata,Unknown,Kept in manual review per your flag: too generic/ambiguous a term on its own to assign a specific technical meaning without more context -- not forcing an assumed scope.,Original job description context to confirm intended meaning/scope.
Relational OLTP queries,Relational OLTP Queries,Database,"Kept in manual review: a real database practice, but it's unclear whether it should be a distinct ontology entry or is better folded into general SQL/relational-database skill already captured elsewhere; needs a human call rather than an assumption.",Original job description context to confirm intended meaning/scope.
Security Configuration Management,Security Configuration Management,Cybersecurity,"Kept in manual review: a real security/compliance practice, but reads more like a compound professional competency/duty than one discrete named tool or technique -- distinguishing it from confirmed technical skills.",Original job description context to confirm intended meaning/scope.
Standard Procedure Definition,Standard Procedure Definition,Software Engineering,"Reconsidered from job_responsibility, for consistency with Defect Management/Test Management/Database Documentation: a process-definition competency rather than a discrete technical skill, kept in manual review rather than rejected outright.",Original job description context to confirm intended meaning/scope.
Statistics,Statistics,Domain Knowledge,Broad academic domain rather than a specific technology or tool.,Original job description context to confirm intended meaning/scope.
Telecommunication,Telecommunication,Domain Knowledge,Broad industry/domain term rather than a specific technology or tool.,Original job description context to confirm intended meaning/scope.
Test Management,Test Management,Testing,"Reconsidered from job_responsibility: a recognized QA/professional competency (planning and tracking test efforts). Distinguished from a core technical skill, so kept in manual review.",Original job description context to confirm intended meaning/scope.
Titanium,Titanium,Unknown,Kept in manual review: ambiguous on its own -- could refer to Appcelerator/Axway Titanium (a mobile app framework) or another 'Titanium'-branded product; not assuming a specific product without more context.,Original job description context to confirm intended meaning/scope.
Unit testing with Jasmine or protractor,Unit Testing,Testing,"Split component 3 of 3: 'unit testing' on its own is a broad, general testing practice/methodology rather than a specific named tool; kept for manual review since the specific tools mentioned (Jasmine, Protractor) are already captured separately.",Original job description context to confirm intended meaning/scope.
