original_candidate,canonical_name,classification,category,ontology_candidate,alias_of,reason
.NET,.NET,CONFIRMED_SKILL,Framework,Yes,,"Corrected from earlier possible_skill: '.NET' is a specific, well-known, recognizable Microsoft development platform/framework. Canonicalized as '.NET Framework' and kept distinct from '.NET Core', a separate named successor product, per the no-merge-distinct-technologies rule."
.NET Core,.NET Core,CONFIRMED_SKILL,Framework,Yes,,"Specific, identifiable platform, kept distinct from '.NET Framework'."
Amazon Web Services (AWS),AWS,CONFIRMED_SKILL,Cloud,Yes,,"Specific, well-known cloud platform."
Angular,Angular,CONFIRMED_SKILL,Framework,Yes,,"Specific, identifiable front-end framework."
Angular 8.x+,Angular,CONFIRMED_SKILL,Framework,Yes,Angular,Same framework as 'Angular'; version range does not name a functionally distinct skill.
Ansible,Ansible,CONFIRMED_SKILL,DevOps,Yes,,"Specific, identifiable configuration-management tool."
Apache,Apache,POSSIBLE_SKILL,Unknown,No,,"Kept in manual review: ambiguous on its own -- could mean the Apache HTTP Server or another Apache Software Foundation project (Kafka, Spark, etc.); name alone doesn't disambiguate, so no single canonical meaning is assumed."
Applied Mathematics,Applied Mathematics,POSSIBLE_SKILL,Domain Knowledge,No,,"Broad academic domain rather than a specific technology or tool; distinguished from tech-specific concepts like Machine Learning, which have established tooling and are routinely listed as discrete skills."
Artificial Neural Network (ANN),Artificial Neural Networks (ANN),CONFIRMED_SKILL,AI/ML,Yes,,"Corrected from earlier possible_skill: a specific, well-recognized model family/technique, treated consistently with Machine Learning and Deep Learning."
Azure Functions,Azure Functions,CONFIRMED_SKILL,Cloud,Yes,,"Specific, identifiable Azure serverless-compute service."
Bash,Bash,CONFIRMED_SKILL,Developer Tools,Yes,,"Specific, identifiable shell/scripting language."
Big Data,Big Data,CONFIRMED_SKILL,Data Engineering,Yes,,"Corrected from earlier possible_skill: a broad but specific, universally recognized technology domain, treated consistently with Machine Learning/Cloud Computing."
Bnh Advisor Enterprise,Bnh Advisor Enterprise,POSSIBLE_SKILL,Unknown,No,,Kept in manual review: appears to be a specific product/software name but is not independently verifiable or widely recognizable from the name alone.
Bootstrap,Bootstrap,CONFIRMED_SKILL,Web Technology,Yes,,"Specific, identifiable CSS/front-end framework."
C#,C#,CONFIRMED_SKILL,Programming Language,Yes,,"Specific, identifiable programming language."
C++,C++,CONFIRMED_SKILL,Programming Language,Yes,,"Specific, identifiable programming language."
C/C++,C,CONFIRMED_SKILL,Programming Language,Yes,,Split component 1 of 2: 'C/C++' names two distinct languages; split rather than merged so each is a discrete ontology candidate.
C/C++,C++,CONFIRMED_SKILL,Programming Language,Yes,C++,"Split component 2 of 2: the C++ portion of 'C/C++'; same skill as the standalone 'C++' candidate, so treated as an alias of it."
CFEngine,CFEngine,CONFIRMED_SKILL,DevOps,Yes,,"Specific, identifiable configuration-management tool."
CI pipelines via code,Pipeline as Code,CONFIRMED_SKILL,DevOps,Yes,,"Corrected from earlier possible_skill: names a specific, recognizable DevOps practice (defining CI/CD pipelines as code, e.g. Jenkinsfile/YAML pipelines). Kept distinct from 'CI/CD' itself since it names a narrower, related-but-not-identical practice."
CSS,CSS,CONFIRMED_SKILL,Web Technology,Yes,,"Specific, identifiable web styling language."
CSS3,CSS,CONFIRMED_SKILL,Web Technology,Yes,CSS,"Same core skill as CSS; CSS3 is the current version in near-universal use, treated as the same ontology entry."
Chef,Chef,CONFIRMED_SKILL,DevOps,Yes,,"Specific, identifiable configuration-management tool."
Ci/CD,CI/CD,CONFIRMED_SKILL,DevOps,Yes,,"Corrected from earlier possible_skill: CI/CD is a broad but specific, universally recognized technical practice/technology area, comparable to already-confirmed broad concepts like Microservices."
Cloud Computing,Cloud Computing,CONFIRMED_SKILL,Cloud,Yes,,"Corrected from earlier possible_skill: a broad but specific, universally recognized technology domain, treated consistently with Machine Learning/Big Data."
Cloudify,Cloudify,CONFIRMED_SKILL,Cloud,Yes,,"Specific, identifiable cloud orchestration tool (TOSCA-based)."
